,Unnamed: 0,label,text,split,sentence
0,0,0,@anonymized_account @anonymized_account Brawo ty Daria kibic ma być na dobre i złe,0.0,
1,1,0,"@anonymized_account @anonymized_account Super, polski premier składa kwiaty na grobach kolaborantów. Ale doczekaliśmy czasów.",1.0,
2,2,0,@anonymized_account @anonymized_account Musi. Innej drogi nie mamy.,1.0,
3,3,0,"Odrzut natychmiastowy, kwaśna mina, mam problem",1.0,
4,4,0,"Jaki on był fajny xdd pamiętam, że spóźniłam się na jego pierwsze zajęcia i to sporo i za karę kazał mi usiąść w pierwszej ławce XD",0.0,
5,5,0,@anonymized_account No nie ma u nas szczęścia 😉,0.0,
6,6,0,@anonymized_account Dawno kogoś tak wrednego nie widziałam xd,0.0,
7,7,0,"@anonymized_account @anonymized_account Zaległości były, ale ważne czy były wezwania do zapłaty z których się klub nie wywiązał.",1.0,
8,8,1,@anonymized_account @anonymized_account @anonymized_account Gdzie jest @anonymized_account . Brudziński jesteś kłamcą i marnym kutasem @anonymized_account,1.0,
9,9,0,@anonymized_account @anonymized_account  no mam nadzieje !!:),0.0,
10,10,0,@anonymized_account @anonymized_account Może gustował w starszych paniach ;-),1.0,
11,11,0,"@anonymized_account Zostawiłam tam 3 lata temu \""Notatki na mankietach\"". Muszę się wrócić.",1.0,
12,12,0,"@anonymized_account Oprawa do Krzysia M. Ps Pinokio -\n\"" mogłeś być gangsterem a zostałeś 3 ligowym frajerem \""😀",1.0,
13,13,0,@anonymized_account @anonymized_account Znowu będzie komunikat o polskich piratach drogowych w Słowacji.,1.0,
14,14,0,"@anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0.0,
15,15,0,"RT @anonymized_account @anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0.0,
16,16,0,"@anonymized_account @anonymized_account o jakim zachowaniu \""fer\"" mówisz skoro ukrywał się z tym że podpisał kontrakt z Legią ? Możesz rozwinąć ?",0.0,
17,17,0,@anonymized_account @anonymized_account Joanno! Po raz pierwszy się z panią zgadzam.😁😁😁😁😁,1.0,
18,18,0,"Monster block, monster block, monster block... 😁",0.0,
19,19,0,@anonymized_account Czyżby Madryt brał przykład z Warszawy?,1.0,
20,20,1,@anonymized_account @anonymized_account No to Skończmy kurwa z tym wersalem w j...ej szczujni,0.0,
21,21,0,"@anonymized_account Nie wiem, najczęściej grają na zmianę na prawym skrzydle.",0.0,
22,22,0,@anonymized_account No to Pan i koledzy macie z głowy. Przesrane tak reszta życia pod górkę.,0.0,
23,23,0,"@anonymized_account A ja obstawiam, że pójdą bardziej w stronę tego, że może się powtórzyć sytuacja z Meresińskim.",0.0,
24,24,0,Aaaaa Kuba mi odpisał hehehehehe,1.0,
25,25,0,Asysta Kacpra Falona i 3:1 dla Widzewa. Witamy Widzew w II lidze. No i w sumie fajnie.,0.0,
26,26,0,@anonymized_account gwizdali na niego ? Bo nie oglądałem meczu :),0.0,
27,27,0,@anonymized_account @anonymized_account ale może w końcu dojdzie do wniosku że skoro go klub już nie jara to lepiej go sprzedać i mieć po kłopocie,0.0,
28,28,0,"@anonymized_account @anonymized_account Hej halo, o czym to jest bo mam na swojej liście i nie wiem czy warto??",0.0,
29,29,0,dorosłe życie nie jest dla mnie,2.0,
30,30,0,RT @anonymized_account dorosłe życie nie jest dla mnie,1.0,
31,31,0,"@anonymized_account Cześć Paderewski, część opalające się nogi",0.0,
32,32,0,@anonymized_account @anonymized_account @anonymized_account Uprowadź gumową kaczuszkę. Zacznie negocjować.,1.0,
33,33,0,@anonymized_account Już wiem ze się nie dogadamy XD,1.0,
34,34,0,"@anonymized_account Ale to w nowym przekładzie, jeszcze nie czytałam.",1.0,
35,35,0,"@anonymized_account Lahoza mi nigdy nie szkoda. Wolę, jak na pierwszym planie są piłkarze, a nie sędzia :-)",1.0,
36,36,0,"@anonymized_account @anonymized_account Sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj.",1.0,
37,37,0,@anonymized_account zmieńcie se nazwe na profilu na insta bo się nazywacie Grzegorz Ożóg...,0.0,
38,38,1,#Woronicza 17 poseł Halicki oburzony za Bolka.Naprawdè taki tępy czy tylko udaje idiotę?,0.0,
39,39,0,„Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,1.0,
40,40,0,RT @anonymized_account „Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,1.0,
41,41,0,Ahnherr der Schtwätzer wykonawcy Von Spar\nhttps://t.co/SOtenSqIr0,0.0,
42,42,0,@anonymized_account @anonymized_account @anonymized_account Bierze cie cie pod chuj a ty sie produkujesz,0.0,
43,43,1,@anonymized_account @anonymized_account @anonymized_account Jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą.,0.0,
44,44,0,@anonymized_account Kiedy do licznika dojdą bilety z fan clubow?,0.0,
45,45,0,@anonymized_account A kto prowadzi zespół ? Będzie podany skład z tego meczu ?,0.0,
46,46,0,"@anonymized_account Główny powód to brak kasy, trzeba dać bogatym 500+,300+ i być bez godności i honoru",0.0,
47,47,0,Zrobiłam takie Cv że ohohohoho,0.0,
48,48,0,Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0.0,
49,49,0,RT @anonymized_account Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0.0,
50,50,0,@anonymized_account @anonymized_account nie gra bo jest Jovanović i Guilherme,0.0,
51,51,0,@anonymized_account O tej godz. sporty szanuj ciało,1.0,
52,52,1,Nikt nigdy nie rozsiewał takiego smrodu jak @anonymized_account,1.0,
53,53,0,Nikt cię tak dobrze nie ubierze jak matka chrzestna dziecino,2.0,
54,54,0,@anonymized_account @anonymized_account Nikt tutaj nie chce plagiaciarzy kopiujących brytyjskich pisarzy.,0.0,
55,55,0,@anonymized_account A ksiądz co bierze 12 tyś za spowiedź przez tel?,1.0,
56,56,0,"@anonymized_account Koń też ma dużą głowę. Tylko wydaje mi się, że jest bardziej inteligentny niż Karczewski",0.0,
57,57,0,@anonymized_account Pod i górę  pod wiatr to więcej niż k2,0.0,
58,58,0,@anonymized_account Sędziowie VAR nie decydują o karnych 😉,0.0,
59,59,0,"Jakiś program na TVN, nauka jazdy za kierownicą babcia śpiewa \""jadą jadą jadą świry jadą\"" jadą jadą jadą świry jadą\""",0.0,
60,60,0,@anonymized_account ta obecna Zary Larsson czy Pitbulla z ostatnich MŚ nie były złe :),0.0,
61,61,0,(280 znaków w jednym zdaniu 🙈),0.0,
62,62,0,@anonymized_account po wahaniach wagi Kwacha wznoszę że to może być kapuścianka,1.0,
63,63,0,@anonymized_account @anonymized_account w tym sezonie razem z pucharem 12 meczy i 1 gol.Mójta więcej strzelił.Sorry patrze w statystyki.,0.0,
64,64,0,@anonymized_account @anonymized_account @anonymized_account finały tblk były przyzwoicie sędziowane ?! Aha...,1.0,
65,65,0,"@anonymized_account Taki miałam właśnie, teraz kupiłam z catrice",1.0,
66,66,0,@anonymized_account to ich wymień.W czym problem ?,0.0,
67,67,0,@anonymized_account @anonymized_account @anonymized_account a ja mam ciepełko jak się przytule do swoich kotów :),0.0,
68,68,0,"@anonymized_account Właśnie. Ilu! Najpierw odpowiedzmy sobie ma to pytanie,a potem dziwmy się zwycięstwu Zdanowskiej",1.0,
69,69,0,"@anonymized_account W jego przypadku statystyka przebiegniętych kilometrów nie ma znaczenia. Czy gra zajebiście, czy fatalnie, biega tyle samo.",0.0,
70,70,0,"@anonymized_account @anonymized_account 100%, Mann też miał pełne prawo",1.0,
71,71,0,@anonymized_account Kończyłeś już kilka razy 😂,0.0,
72,72,0,@anonymized_account Dzisiaj zajmujemy się WARiatem Krystyną ciekawe czy będzie płakał?,0.0,
