sentence,word,meaning
 Pies jest najlepszym przyjacielem człowieka.,pies," zool. Canis familiaris[1], zwierzę domowe; zob. też pies w Wikipedii"
" Cyrk Arena nie ukrywa: będą wielbłądy, konie, lamy, alpaki, słoń, osioł, psy[5].",pies," zool. Canis familiaris[1], zwierzę domowe; zob. też pies w Wikipedii"
 Czy to jest pies czy suka?,pies, samiec gatunku (1.1)
 Psy stoją na patrolu.,pies," slang. obraź. policjant[3], żandarm lub milicjant"
 Co wieczór przy szosie stoją kurwy i czekają na jakiś zarobek.,kurwa, wulg. prostytutka[2]
" Ziemię pomierzył i głębokie morze, • Wie, jako wstają i zachodzą zorze, • Wiatrom rozumie, praktykuje komu — • A sam nie widzi, że ma kurwę w domu[5].",kurwa, wulg. kobieta prowadząca rozwiązły tryb życia[3]
" Nie będziesz mi, kurwo, mówiła, co mam robić!",kurwa, wulg. pogard. do kobiety / o kobiecie[2]
" Ty kurwo! Jeszcze mi wisisz dwa baniaki, coś przegrał w pokera.",kurwa," wulg. pogard. człowiek postępujący w sposób podły lub niemoralny, łajdak, nikczemnik, sprzedający się"
" Zamkniesz się, kurwa, czy nie?!",kurwa," wulg. …powtarzany jako przekleństwo, w mowie potocznej często jako przerywnik w zdaniu[4]; zob. też kurwa w Wikipedii"
" O kurwa, zajebali mi portfel!",kurwa," wulg. …powtarzany jako przekleństwo, w mowie potocznej często jako przerywnik w zdaniu[4]; zob. też kurwa w Wikipedii"
" Czekaj, czy ja, kurwa, czegoś nie zapomniałem z domu?",kurwa," wulg. …występująca bezpośrednio po wyrazie, który mówca chce podkreślić (i tym samym swoje uniesienie, euforię lub rozgoryczenie)"
 Pod latarnią stała prostytutka.,prostytutka, książk.[1] kobieta świadcząca usługi seksualne
" Nie są wyjątkami wypadki zaczepiania młodych dziewcząt w parkach lub wręcz na ulicy przez patrole MO z żądaniem, aby udowodniły, że nie są prostytutkami[2].",prostytutka, książk.[1] kobieta świadcząca usługi seksualne
